feature,importance
nuisance_count_30d,0.1470754720597902
nuisance_count_60d,0.13526492197677129
nuisance_count_90d,0.12238651388502812
complaint_count_30d,0.11729796689248953
complaint_count_60d,0.08722711679679838
total_nuisance,0.08440762958228107
complaint_count_90d,0.08251335450093306
sentiment_mean,0.04713094384137246
nuisance_rate,0.033035543708785864
sentiment_count,0.0328350575990712
sentiment_std,0.023292084247210125
cell_lon,0.018800516434483026
total_chronic_locations,0.009634112450111825
complaint_years_active,0.009464206924254016
total_complaints,0.00933122107544791
violation_years_active,0.009313329764003602
cell_lat,0.009273863027171082
siren_coverage_gap,0.009225504824961301
total_violations,0.004612773356601914
chronic_loc_count_60d,0.004300556360322925
days_since_last_complaint,0.00314708081084042
avg_resolution_days,0.00015404866538816771
pct_call_center,0.00011960628423154079
chronic_loc_count_30d,5.737345378707129e-05
dist_to_nearest_siren_km,4.211795102168486e-05
chronic_loc_count_90d,3.1968758825842666e-05
most_common_dept,2.5114768016299904e-05
env_violations,0.0
chronic_parcels,0.0
unique_parcels,0.0
open_violations,0.0
lien_filed_count,0.0
open_violation_rate,0.0
env_violation_rate,0.0
chronic_parcel_rate,0.0
avg_lien_status,0.0
