grid_cell,sentiment_mean,sentiment_count,sentiment_std
0.0000_0.0000,0.15,1,0.0
32.0000_-86.0000,0.023167539267015706,382,0.05535538434588935
32.2600_-86.3700,0.075,2,0.10606601717798213
32.2650_-86.3600,0.0,2,0.0
32.2650_-86.3650,0.049999999999999996,3,0.08660254037844387
32.2700_-86.3550,0.0,6,0.0
32.2700_-86.3600,0.03333333333333333,9,0.06614378277661477
32.2700_-86.3700,0.15,1,0.0
32.2700_-86.3750,0.0,1,0.0
32.2750_-86.3300,0.02142857142857143,7,0.056694670951384085
32.2800_-86.3100,0.0,1,0.0
32.2800_-86.3300,0.0,8,0.0
32.2800_-86.3900,0.15,1,0.0
32.2800_-86.3950,0.0,1,0.0
32.2850_-86.1800,0.0,1,0.0
32.2850_-86.1850,0.125,6,0.06123724356957945
32.2850_-86.2450,0.075,8,0.08017837257372731
32.2850_-86.2600,0.0375,24,0.0663488802697037
32.2850_-86.2650,0.09078947368421052,38,0.08208043447765019
32.2850_-86.3100,0.15,1,0.0
32.2850_-86.3750,0.0,3,0.0
32.2850_-86.3800,0.0,2,0.0
32.2850_-86.3850,0.075,4,0.08660254037844387
32.2850_-86.3900,0.049999999999999996,3,0.08660254037844387
32.2850_-86.3950,0.0,1,0.0
32.2900_-86.1800,0.15,5,0.0
32.2900_-86.1850,0.10909090909090909,11,0.07006490497453707
32.2900_-86.1900,0.014999999999999998,30,0.0457692864944047
32.2900_-86.1950,0.04615384615384615,13,0.0720576692122892
32.2900_-86.2000,0.075,16,0.07745966692414834
32.2900_-86.2200,0.049999999999999996,3,0.08660254037844387
32.2900_-86.2250,0.125,6,0.06123724356957945
32.2900_-86.2300,0.03333333333333333,9,0.1
32.2900_-86.2400,0.0,1,0.0
32.2900_-86.2450,0.07083333333333333,36,0.08398554297360604
32.2900_-86.2500,0.0,1,0.0
32.2900_-86.2550,0.09999999999999999,6,0.07745966692414834
32.2900_-86.2600,0.01875,8,0.053033008588991064
32.2900_-86.2650,0.01875,8,0.05303300858899107
32.2900_-86.2700,0.04285714285714286,7,0.07319250547113999
32.2900_-86.2750,0.075,4,0.08660254037844387
32.2900_-86.3750,0.0,2,0.0
32.2900_-86.3800,0.02142857142857143,35,0.05325537018725448
32.2900_-86.3850,0.045,10,0.10124228365658294
32.2900_-86.3900,0.0409090909090909,11,0.07006490497453707
32.2900_-86.4150,0.0,2,0.0
32.2950_-86.1950,0.04,60,0.06689227362847251
32.2950_-86.2000,0.075,10,0.10606601717798214
32.2950_-86.2150,0.05357142857142857,14,0.07458677371482703
32.2950_-86.2200,0.09545454545454546,44,0.07983863217866821
32.2950_-86.2250,0.03631578947368421,95,0.0681995294109138
32.2950_-86.2300,0.04054054054054054,37,0.06753377533361223
32.2950_-86.2350,0.06999999999999999,90,0.07854004918411177
32.2950_-86.2400,0.06265822784810127,79,0.08528547627518933
32.2950_-86.2450,0.045,20,0.07052435189724408
32.2950_-86.2500,0.0625,24,0.07554152327780023
32.2950_-86.2550,0.06666666666666667,126,0.07720103626247513
32.2950_-86.2700,0.0,1,0.0
32.2950_-86.2750,0.0,13,0.0
32.2950_-86.3050,0.0,3,0.0
32.2950_-86.3400,0.06489361702127659,141,0.07458089588088315
32.2950_-86.3450,0.09642857142857143,126,0.0721605353163546
32.2950_-86.3500,0.0923076923076923,13,0.07595545253127499
32.2950_-86.3800,0.06,5,0.08215838362577492
32.2950_-86.3900,0.0,3,0.0
32.3000_-86.1900,0.15,4,0.1224744871391589
32.3000_-86.1950,0.0375,16,0.08660254037844385
32.3000_-86.2000,0.09375,8,0.07763237542601485
32.3000_-86.2050,0.09999999999999999,3,0.08660254037844387
32.3000_-86.2100,0.02142857142857143,7,0.056694670951384085
32.3000_-86.2150,0.04411764705882353,17,0.07045023274707933
32.3000_-86.2200,0.09310344827586206,29,0.074070596068686
32.3000_-86.2250,0.08671875,64,0.0746644278469626
32.3000_-86.2300,0.08891752577319588,194,0.07388805004843794
